"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
1,1,"8","2",NA,"6","2",NA,"0","8","Banker","No pair"
1,2,"4","6","3","8","2","K","3","0","Player","No pair"
1,3,"9","4",NA,"J","9",NA,"3","9","Banker","No pair"
1,4,"A","10","4","7","3","4","5","4","Player","No pair"
1,5,"5","K","7","A","2","6","2","9","Banker","No pair"
1,6,"8","Q",NA,"3","2",NA,"8","5","Player","No pair"
1,7,"2","4",NA,"6","5","2","6","3","Player","No pair"
1,8,"9","3","Q","8","7",NA,"2","5","Banker","No pair"
1,9,"10","4","J","2","A","9","4","2","Player","No pair"
1,10,"Q","J","A","5","8","10","1","3","Banker","No pair"
1,11,"6","K",NA,"K","5","A","6","6","Tie","No pair"
1,12,"J","2","6","Q","J","10","8","0","Player","No pair"
1,13,"Q","Q",NA,"9","J",NA,"0","9","Banker","Player pair"
1,14,"6","2",NA,"6","10",NA,"8","6","Player","No pair"
1,15,"Q","3","5","A","4","7","8","2","Player","No pair"
1,16,"K","8",NA,"A","7",NA,"8","8","Tie","No pair"
1,17,"4","4",NA,"5","A",NA,"8","6","Player","Player pair"
1,18,"8","3","9","Q","A","10","0","1","Banker","No pair"
1,19,"5","9","8","5","9",NA,"2","4","Banker","No pair"
1,20,"5","7",NA,"Q","8",NA,"2","8","Banker","No pair"
1,21,"9","3",NA,"K","9",NA,"2","9","Banker","No pair"
1,22,"6","3",NA,"9","10",NA,"9","9","Tie","No pair"
1,23,"Q","A","6","Q","3","10","7","3","Player","No pair"
1,24,"J","7",NA,"Q","10","10","7","0","Player","No pair"
1,25,"8","3","2","2","A","10","3","3","Tie","No pair"
1,26,"J","A","K","8","7",NA,"1","5","Banker","No pair"
1,27,"J","A","5","4","9","10","6","3","Player","No pair"
1,28,"6","Q",NA,"7","A",NA,"6","8","Banker","No pair"
1,29,"6","8","A","3","K","K","5","3","Player","No pair"
1,30,"3","A",NA,"8","Q",NA,"4","8","Banker","No pair"
1,31,"8","3","K","5","Q",NA,"1","5","Banker","No pair"
1,32,"K","J","K","10","3","A","0","4","Banker","No pair"
1,33,"A","5",NA,"4","5",NA,"6","9","Banker","No pair"
1,34,"6","9","J","5","K",NA,"5","5","Tie","No pair"
1,35,"9","2","3","5","9","4","4","8","Banker","No pair"
1,36,"4","2",NA,"7","9",NA,"6","6","Tie","No pair"
1,37,"9","7",NA,"K","5","A","6","6","Tie","No pair"
1,38,"5","8","10","2","3",NA,"3","5","Banker","No pair"
1,39,"2","5",NA,"K","7",NA,"7","7","Tie","No pair"
1,40,"10","9",NA,"K","2",NA,"9","2","Player","No pair"
1,41,"J","8",NA,"6","7",NA,"8","3","Player","No pair"
1,42,"5","6",NA,"4","5",NA,"1","9","Banker","No pair"
1,43,"A","3","6","J","4","Q","0","4","Banker","No pair"
1,44,"3","4",NA,"8","8",NA,"7","6","Player","Banker pair"
1,45,"2","Q","3","A","5",NA,"5","6","Banker","No pair"
1,46,"K","5","2","7","4","10","7","1","Player","No pair"
1,47,"K","6",NA,"10","9",NA,"6","9","Banker","No pair"
1,48,"10","6",NA,"8","4","7","6","9","Banker","No pair"
1,49,"J","4",NA,"J","9",NA,"4","9","Banker","No pair"
1,50,"3","10","A","3","J","Q","4","3","Player","No pair"
1,51,"7","8","2","9","3","6","7","8","Banker","No pair"
1,52,"9","9",NA,"K","10",NA,"8","0","Player","Player pair"
1,53,"9","10",NA,"2","J",NA,"9","2","Player","No pair"
1,54,"4","6","7","5","K","6","7","1","Player","No pair"
1,55,"K","Q","5","Q","2","2","5","4","Player","No pair"
1,56,"10","6",NA,"J","3","A","6","4","Player","No pair"
1,57,"9","10",NA,"J","8",NA,"9","8","Player","No pair"
1,58,"A","J","7","Q","7",NA,"8","7","Player","No pair"
1,59,"10","8",NA,"9","K",NA,"8","9","Banker","No pair"
1,60,"6","6","8","10","A","3","0","4","Banker","Player pair"
1,61,"K","Q","4","4","6","5","4","5","Banker","No pair"
1,62,"8","9",NA,"4","2",NA,"7","6","Player","No pair"
1,63,"7","K",NA,"J","J","3","7","3","Player","Banker pair"
1,64,"6","2",NA,"8","9",NA,"8","7","Player","No pair"
1,65,"4","6","8","K","7",NA,"8","7","Player","No pair"
1,66,"6","4","9","7","4","2","9","3","Player","No pair"
1,67,"J","2","4","4","K","J","6","4","Player","No pair"
1,68,"A","K","Q","A","3",NA,"1","4","Banker","No pair"
1,69,"6","A",NA,"2","8","7","7","7","Tie","No pair"
1,70,"Q","A",NA,"3","5",NA,"1","8","Banker","No pair"
1,71,"A","5",NA,"3","5",NA,"6","8","Banker","No pair"
1,72,"10","7",NA,"9","10",NA,"7","9","Banker","No pair"
1,73,"A","7",NA,"10","4",NA,"8","4","Player","No pair"
1,74,"J","7",NA,"6","Q",NA,"7","6","Player","No pair"
1,75,"2","10","Q","8","6",NA,"2","4","Banker","No pair"
1,76,"7","J",NA,"K","J","Q","7","0","Player","No pair"
1,77,"2","3","9","Q","Q","7","4","7","Banker","Banker pair"
1,78,"4","7","10","7","3","K","1","0","Player","No pair"
1,79,"2","4",NA,"7","8","7","6","2","Player","No pair"
1,80,"K","5","K","5","J",NA,"5","5","Tie","No pair"
1,81,"J","J","8","A","Q","8","8","9","Banker","Player pair"
1,82,"J","2","9","5","10",NA,"1","5","Banker","No pair"
1,83,"J","5",NA,"6","3",NA,"5","9","Banker","No pair"
1,84,"10","K",NA,"Q","8",NA,"0","8","Banker","No pair"
2,85,"2","5",NA,"4","8","6","7","8","Banker","No pair"
2,86,"9","Q",NA,"2","J",NA,"9","2","Player","No pair"
2,87,"A","5",NA,"5","Q","5","6","0","Player","No pair"
2,88,"A","A","A","Q","5",NA,"3","5","Banker","Player pair"
2,89,"J","J","5","K","4","J","5","4","Player","Player pair"
2,90,"8","3","K","A","9","9","1","9","Banker","No pair"
2,91,"9","8",NA,"K","8",NA,"7","8","Banker","No pair"
2,92,"J","5","Q","Q","4",NA,"5","4","Player","No pair"
2,93,"2","5",NA,"3","A","9","7","3","Player","No pair"
2,94,"5","4",NA,"6","7",NA,"9","3","Player","No pair"
2,95,"2","7",NA,"7","3",NA,"9","0","Player","No pair"
2,96,"J","K","K","6","9",NA,"0","5","Banker","No pair"
2,97,"Q","Q","4","J","Q","10","4","0","Player","Player pair"
2,98,"K","6",NA,"A","8",NA,"6","9","Banker","No pair"
2,99,"8","5",NA,"A","7",NA,"3","8","Banker","No pair"
2,100,"K","9",NA,"8","10",NA,"9","8","Player","No pair"
2,101,"8","10",NA,"7","Q",NA,"8","7","Player","No pair"
2,102,"4","4",NA,"A","9",NA,"8","0","Player","Player pair"
2,103,"8","8",NA,"6","10",NA,"6","6","Tie","Player pair"
2,104,"Q","4","6","5","6","10","0","1","Banker","No pair"
2,105,"5","9","J","J","10","5","4","5","Banker","No pair"
2,106,"9","3","Q","8","6",NA,"2","4","Banker","No pair"
2,107,"6","K",NA,"K","5","9","6","4","Player","No pair"
2,108,"K","4",NA,"8","10",NA,"4","8","Banker","No pair"
2,109,"3","7",NA,"A","8",NA,"0","9","Banker","No pair"
2,110,"4","6","9","4","6","3","9","3","Player","No pair"
2,111,"J","Q","2","3","4",NA,"2","7","Banker","No pair"
2,112,"2","5",NA,"Q","6",NA,"7","6","Player","No pair"
2,113,"8","Q",NA,"6","3",NA,"8","9","Banker","No pair"
2,114,"9","4",NA,"2","6",NA,"3","8","Banker","No pair"
2,115,"5","J","8","5","A",NA,"3","6","Banker","No pair"
2,116,"Q","J","8","J","K","J","8","0","Player","No pair"
2,117,"K","A","2","2","A","4","3","7","Banker","No pair"
2,118,"J","2","3","A","4",NA,"5","5","Tie","No pair"
2,119,"10","2",NA,"10","8",NA,"2","8","Banker","No pair"
2,120,"4","6","7","10","Q","5","7","5","Player","No pair"
2,121,"3","2","J","J","Q","3","5","3","Player","No pair"
2,122,"6","10",NA,"10","K","6","6","6","Tie","No pair"
2,123,"K","3","J","J","A","2","3","3","Tie","No pair"
2,124,"5","9","5","Q","10","4","9","4","Player","No pair"
2,125,"4","9","9","8","3","10","2","1","Player","No pair"
2,126,"3","8","A","2","5",NA,"2","7","Banker","No pair"
2,127,"3","K","6","7","7","3","9","7","Player","Banker pair"
2,128,"5","K","A","10","3","5","6","8","Banker","No pair"
2,129,"8","9",NA,"3","K","4","7","7","Tie","No pair"
2,130,"Q","7",NA,"5","7","K","7","2","Player","No pair"
2,131,"8","3","8","5","7","10","9","2","Player","No pair"
2,132,"9","9",NA,"9","6",NA,"8","5","Player","Player pair"
2,133,"5","Q","K","K","2","5","5","7","Banker","No pair"
2,134,"Q","10","Q","9","A","4","0","4","Banker","No pair"
2,135,"8","J",NA,"3","2",NA,"8","5","Player","No pair"
2,136,"7","8","8","K","6",NA,"3","6","Banker","No pair"
2,137,"2","3","J","2","A","7","5","0","Player","No pair"
2,138,"10","K","A","6","6","10","1","2","Banker","Banker pair"
2,139,"10","3","4","A","4","Q","7","5","Player","No pair"
2,140,"9","4","3","J","2","9","6","1","Player","No pair"
2,141,"3","10","3","J","J","10","6","0","Player","Banker pair"
2,142,"6","9","2","Q","6",NA,"7","6","Player","No pair"
2,143,"4","7","9","J","7",NA,"0","7","Banker","No pair"
2,144,"2","3","2","10","4","8","7","2","Player","No pair"
2,145,"J","J","J","2","K","J","0","2","Banker","Player pair"
2,146,"J","7",NA,"7","7","7","7","1","Player","Banker pair"
2,147,"4","Q","A","2","A","A","5","4","Player","No pair"
2,148,"Q","8",NA,"6","10",NA,"8","6","Player","No pair"
2,149,"10","3","K","Q","5",NA,"3","5","Banker","No pair"
2,150,"6","10",NA,"9","2","5","6","6","Tie","No pair"
2,151,"9","10",NA,"10","3",NA,"9","3","Player","No pair"
2,152,"2","7",NA,"9","9",NA,"9","8","Player","Banker pair"
2,153,"4","8","K","J","A","10","2","1","Player","No pair"
2,154,"4","4",NA,"A","2",NA,"8","3","Player","Player pair"
2,155,"7","Q",NA,"7","K",NA,"7","7","Tie","No pair"
2,156,"8","6","A","Q","K","2","5","2","Player","No pair"
2,157,"7","A",NA,"9","K",NA,"8","9","Banker","No pair"
2,158,"4","Q","A","5","6","A","5","2","Player","No pair"
2,159,"2","8","8","2","K","Q","8","2","Player","No pair"
2,160,"Q","10","7","7","5","7","7","9","Banker","No pair"
2,161,"K","6",NA,"6","3",NA,"6","9","Banker","No pair"
2,162,"10","K","2","J","7",NA,"2","7","Banker","No pair"
2,163,"4","8","3","3","7","10","5","0","Player","No pair"
2,164,"A","3","4","K","6",NA,"8","6","Player","No pair"
2,165,"9","2","5","7","6","A","6","4","Player","No pair"
3,166,"5","5",NA,"8","10",NA,"0","8","Banker","Player pair"
3,167,"6","10",NA,"Q","3","K","6","3","Player","No pair"
3,168,"J","9",NA,"6","5",NA,"9","1","Player","No pair"
3,169,"9","10",NA,"J","8",NA,"9","8","Player","No pair"
3,170,"7","8","Q","10","4",NA,"5","4","Player","No pair"
3,171,"J","10","4","Q","A","10","4","1","Player","No pair"
3,172,"A","8",NA,"J","3",NA,"9","3","Player","No pair"
3,173,"8","2","4","2","9","2","4","3","Player","No pair"
3,174,"8","10",NA,"3","9",NA,"8","2","Player","No pair"
3,175,"4","8",NA,"J","8",NA,"2","8","Banker","No pair"
3,176,"A","3",NA,"A","7",NA,"4","8","Banker","No pair"
3,177,"Q","A","4","K","4","5","5","9","Banker","No pair"
3,178,"7","8","5","3","7","K","0","0","Tie","No pair"
3,179,"6","K",NA,"3","10","9","6","2","Player","No pair"
3,180,"9","A","10","A","Q","J","0","1","Banker","No pair"
3,181,"6","6","5","7","4","7","7","8","Banker","Player pair"
3,182,"6","K",NA,"Q","A","6","6","7","Banker","No pair"
3,183,"5","3",NA,"7","9",NA,"8","6","Player","No pair"
3,184,"K","4","10","Q","A","Q","4","1","Player","No pair"
3,185,"K","10","8","5","8",NA,"8","3","Player","No pair"
3,186,"6","10",NA,"2","J","2","6","4","Player","No pair"
3,187,"5","K","3","10","J","8","8","8","Tie","No pair"
3,188,"2","7",NA,"K","3",NA,"9","3","Player","No pair"
3,189,"6","2",NA,"7","8",NA,"8","5","Player","No pair"
3,190,"9","Q",NA,"2","2",NA,"9","4","Player","Banker pair"
3,191,"6","7","5","4","Q","A","8","5","Player","No pair"
3,192,"J","7",NA,"10","5","4","7","9","Banker","No pair"
3,193,"9","9",NA,"2","10",NA,"8","2","Player","Player pair"
3,194,"10","J",NA,"7","A",NA,"0","8","Banker","No pair"
3,195,"4","5",NA,"J","5",NA,"9","5","Player","No pair"
3,196,"K","A","A","9","4","J","2","3","Banker","No pair"
3,197,"K","10","9","K","2","5","9","7","Player","No pair"
3,198,"10","3","7","4","K","3","0","7","Banker","No pair"
3,199,"4","Q","4","J","A","8","8","9","Banker","No pair"
3,200,"K","K",NA,"8","K",NA,"0","8","Banker","Player pair"
3,201,"K","Q",NA,"Q","8",NA,"0","8","Banker","No pair"
3,202,"9","4",NA,"8","Q",NA,"3","8","Banker","No pair"
3,203,"K","3","9","2","J","A","2","3","Banker","No pair"
3,204,"10","7",NA,"9","8",NA,"7","7","Tie","No pair"
3,205,"3","4",NA,"8","Q",NA,"7","8","Banker","No pair"
3,206,"A","4","10","Q","A","6","5","7","Banker","No pair"
3,207,"A","A","6","8","7","6","8","1","Player","Player pair"
3,208,"J","8",NA,"8","Q",NA,"8","8","Tie","No pair"
3,209,"6","5","K","4","J",NA,"1","4","Banker","No pair"
3,210,"J","Q","9","A","2","3","9","6","Player","No pair"
3,211,"J","5","3","A","K","5","8","6","Player","No pair"
3,212,"A","5",NA,"Q","10","A","6","1","Player","No pair"
3,213,"2","Q","7","7","9","Q","9","6","Player","No pair"
3,214,"6","J",NA,"7","10",NA,"6","7","Banker","No pair"
3,215,"9","3","3","2","K","2","5","4","Player","No pair"
3,216,"A","Q",NA,"9","J",NA,"1","9","Banker","No pair"
3,217,"Q","4","3","2","4",NA,"7","6","Player","No pair"
3,218,"3","A","3","8","7",NA,"7","5","Player","No pair"
3,219,"5","Q","K","5","5","J","5","0","Player","Banker pair"
3,220,"8","Q",NA,"7","6",NA,"8","3","Player","No pair"
3,221,"4","K","2","K","3","7","6","0","Player","No pair"
3,222,"3","Q","8","7","6",NA,"1","3","Banker","No pair"
3,223,"2","9","6","J","10","J","7","0","Player","No pair"
3,224,"6","10",NA,"7","6","6","6","9","Banker","No pair"
3,225,"5","3",NA,"7","4",NA,"8","1","Player","No pair"
3,226,"J","8",NA,"Q","3",NA,"8","3","Player","No pair"
3,227,"Q","6",NA,"J","8",NA,"6","8","Banker","No pair"
3,228,"2","2","4","K","5","5","8","0","Player","Player pair"
3,229,"9","6","J","10","2","2","5","4","Player","No pair"
3,230,"7","7","7","10","3","J","1","3","Banker","Player pair"
3,231,"J","4",NA,"3","6",NA,"4","9","Banker","No pair"
3,232,"K","K",NA,"9","10",NA,"0","9","Banker","Player pair"
3,233,"4","6","9","10","2","A","9","3","Player","No pair"
3,234,"8","6",NA,"9","Q",NA,"4","9","Banker","No pair"
3,235,"J","A",NA,"3","5",NA,"1","8","Banker","No pair"
3,236,"2","10","A","A","5",NA,"3","6","Banker","No pair"
3,237,"6","K",NA,"2","7",NA,"6","9","Banker","No pair"
3,238,"7","J",NA,"J","9",NA,"7","9","Banker","No pair"
3,239,"Q","6",NA,"Q","A","5","6","6","Tie","No pair"
3,240,"5","K","K","9","4","10","5","3","Player","No pair"
3,241,"5","3",NA,"5","9",NA,"8","4","Player","No pair"
3,242,"3","K","6","6","4","A","9","1","Player","No pair"
3,243,"2","9","8","3","8","4","9","5","Player","No pair"
3,244,"2","J",NA,"8","Q",NA,"2","8","Banker","No pair"
3,245,"3","7","7","8","9",NA,"7","7","Tie","No pair"
3,246,"6","10",NA,"9","4","9","6","2","Player","No pair"
3,247,"5","10","4","4","7","9","9","0","Player","No pair"
3,248,"K","A","5","2","2","3","6","7","Banker","Banker pair"
4,249,"2","4",NA,"Q","3","2","6","5","Player","No pair"
